Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
25.0,2.55,7.2,16.3,45500.0,1.1151415906193203,10.389026137075234,11.418625774449598,6.53451531816871,142.2617787
24.5,8.25,8.0,1.6,40350.0,0.4382549309311553,9.35452729228868,11.298506245754995,5.4680601411351315,49.25695277
28.0,8.5,8.15,2.1,24525.0,0.4382549309311553,10.247112717290387,10.800615852145526,5.733341276897746,65.90611328
24.0,7.95,7.8,1.9,23675.0,0.22314355131420976,9.09279480812114,10.765343217715396,5.997695096858618,81.4674044
24.5,4.0,7.4,3.7,40825.0,0.3001045924503381,9.56282655529346,11.31020934572104,5.928258471204189,76.98386184
25.5,4.95,7.4,3.5,13850.0,0.22314355131420976,8.91811465947453,10.229223792606835,6.085637717125231,88.48941666
27.0,7.0,7.7,2.2,11075.0,0.3001045924503381,9.143238568435446,10.00563792118106,5.823045895483019,68.69932091
27.5,7.85,7.9,2.0,7275.0,0.3001045924503381,8.644882552557126,9.585414998760278,5.777652323222656,65.18804983
26.0,6.7,7.8,2.05,10500.0,0.37156355643248307,9.367429587218957,9.952325334619427,6.160151912626133,95.84093304
26.0,4.65,7.3,5.15,42750.0,0.5306282510621704,9.553291574695105,11.356283350762888,6.0390635259072605,85.79052087
26.5,7.6,7.5,1.2,0.0,0.0,0.0,0.0,0.0,0.524595241
26.5,9.0,7.7,2.75,3250.0,0.4382549309311553,8.229777750081887,8.77971129020447,5.671603576291966,58.52341146
28.0,8.3,7.7,2.45,6025.0,0.4700036292457356,8.740496729931813,9.396902923027392,5.643678550586496,57.30403722
28.0,9.0,7.85,2.45,4600.0,0.4054651081081644,8.403128235128264,9.127067452782361,6.050912005751402,85.13300221
26.0,7.35,7.7,3.7,41750.0,0.4382549309311553,9.34145634983372,11.332613886815139,6.509514015963292,135.2459612
26.5,8.6,7.9,2.55,9100.0,0.4382549309311553,8.847359875474174,9.809231816610408,5.86220971125072,71.08534051
27.25,8.6,7.85,2.35,3425.0,0.4382549309311553,7.8826922062890254,8.832149906002899,5.870708345972182,70.99909851
27.75,9.1,7.9,2.0,9075.0,0.4054651081081644,8.707978826622321,9.806480934593978,5.568344503761097,53.23755944
27.25,8.6,7.7,2.45,3375.0,0.4382549309311553,7.601402334583733,8.81744592104187,5.870708345972182,70.90275818
27.5,8.4,7.9,2.55,14175.0,0.4382549309311553,8.160803920954665,10.252417581902414,5.922918004572872,74.95347538
28.25,8.7,7.85,2.8,3825.0,0.4054651081081644,7.762596048540069,8.942591637231851,5.8763342398543505,71.37185983
27.5,4.1,7.7,3.65,229000.0,0.37156355643248307,11.947955847790901,13.034626646500051,6.178980920779041,120.0862826
28.5,2.25,7.8,3.8,225750.0,0.4382549309311553,11.922057176199344,13.02033286667615,6.170656210893009,118.6588326
26.75,8.35,7.95,2.8,3025.0,0.4382549309311553,8.071218539969863,8.707978826622321,5.840641657373398,69.01405218
27.0,6.95,7.7,3.6,44250.0,0.262364264467491,9.809231816610408,11.390769130367211,6.108135853911675,92.31895396
27.0,7.15,7.7,4.2,45250.0,0.262364264467491,10.740756721857226,11.413116179350727,6.304448802421981,115.7853381
27.5,6.95,7.7,3.65,226000.0,0.4054651081081644,12.433212202169729,13.021439671201302,6.035481432524756,121.6766298
28.5,6.4,7.6,2.2,10250.0,0.7654678421395714,8.881975184248867,9.928228944424575,8.135639903354386,676.8793442
27.0,6.5,7.4,2.55,11000.0,0.9745596399981308,9.169622538697624,9.99884318585288,7.1053758730652605,243.0152299
