Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
17.95,8.15,7.9,0.55,0.0,0.09531017980432487,0.0,0.0,5.523458920524919,49.86496502
18.1,7.9,8.1,0.75,0.0,0.09531017980432487,0.0,0.0,5.531411248715415,50.26739165
23.0,6.1,8.1,6.9,0.0,0.37156355643248307,0.0,0.0,6.4457198193855785,125.1851635
22.0,7.05,8.2,1.8,0.0,0.262364264467491,0.0,0.0,5.575949103146316,52.5918607
20.5,4.3,8.35,4.7,0.0,0.262364264467491,0.0,0.0,6.13880638500591,92.09607813
20.5,7.8,8.4,1.3,0.0,0.4382549309311553,0.0,0.0,5.5073619934827445,49.1557458
21.0,7.25,8.3,1.15,0.0,0.18232155679395465,0.0,0.0,5.605802066295998,54.14413883
19.8,4.4,7.8,36.8,411.75,1.1631508098056809,6.1516682986483175,6.714777141999654,6.775366090936392,175.2479749
21.0,8.35,7.8,1.4,630.0,1.8870696490323797,5.991464547107982,7.13966033596492,5.82600010738045,67.98878969
15.0,6.95,7.8,0.2,27.95,0.5596157879354227,1.4816045409242156,4.041295341132285,5.806639860095909,66.08791313
15.0,6.95,7.7,0.25,35.45,0.6418538861723948,3.462606009790799,4.275276264727001,6.826002777109878,182.6119173
16.25,7.0,7.65,0.2,30.45,0.6151856390902334,1.589235205116581,4.12552017969055,5.782285536144145,64.51526296
16.0,6.7,7.55,0.2,32.95,0.4700036292457356,1.599387576580599,4.203198967134183,5.8126368795682835,66.45844787
15.5,6.9,7.6,0.2,35.45,0.4382549309311553,1.589235205116581,4.275276264727001,5.872117789475416,70.51457833
16.25,6.85,7.6,0.2,37.95,0.4700036292457356,1.599387576580599,4.3425058765115985,5.70877001616724,59.93709124
17.5,7.05,7.95,0.3,56.0,0.6151856390902334,1.6094379124341003,4.727387818712341,6.208590026096629,98.65303383
15.0,6.85,8.05,0.3,45.45,0.6151856390902334,3.4547381485901854,4.520701029361642,7.794205168845271,480.3107947
12.5,9.2,7.85,0.7,405.25,0.7884573603642702,2.302585092994046,6.698884386954646,7.771488760117616,469.6335288
12.5,9.05,7.9,1.25,94.0,0.8109302162163288,2.7013612129514133,5.241747015059643,7.984292359998389,580.9214901
12.0,8.85,7.9,2.45,141.5,0.8960880245566356,3.068052935133617,5.648974238161206,8.306472160100585,801.6342945
13.5,9.3,7.8,0.65,415.75,0.8544153281560676,3.1570004211501135,6.724433221854599,6.249009525139524,102.8237964
22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,5.2574953720277815,38.28569366
22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,5.241747015059643,37.69228166
21.5,7.8,7.95,0.0,0.0,0.0,0.0,0.0,4.762173934797756,23.42605138
16.0,8.5,8.1,0.2,0.0,0.0,0.0,0.0,4.787491742782046,24.0383712
22.0,8.6,8.35,0.1,85.0,0.0,3.1986731175506815,5.14166355650266,5.992713766508414,79.54591713
20.5,9.3,8.1,0.1,72.25,0.0,2.995732273553991,4.980176086611547,6.035481432524756,83.01634625
20.3,7.35,7.9,0.95,58.0,0.33647223662121295,2.772588722239781,4.762173934797756,5.6222108209623896,55.0377458
18.0,6.25,7.95,1.2,19.5,0.5877866649021191,2.302585092994046,3.6888794541139363,6.456769655572163,126.3571787
0.0,7.25,7.95,1.25,42.95,0.9162907318741551,2.6602595372658615,4.464758032271346,5.820082930352362,67.06925159
9.5,8.0,7.65,0.15,46.5,0.5007752879124893,2.4765384001174837,4.543294782270004,4.993828175779875,29.49669305
10.5,7.8,7.55,0.2,54.0,0.4700036292457356,3.0155349008501706,4.6913478822291435,5.1328529268205045,33.84120006
12.25,8.4,7.6,0.2,41.0,2.711377991194885,1.3862943611198906,4.418840607796598,6.508023702721733,134.2080506
12.5,8.35,7.75,0.2,39.0,0.5007752879124893,1.6094379124341003,4.3694478524670215,4.848116364598481,25.56123736
22.0,9.2,8.6,0.2,0.0,0.0,0.0,0.0,5.153291594497779,34.56915634
19.0,8.3,7.5,0.2,31.5,0.33647223662121295,1.0986122886681098,4.1588830833596715,5.220355825078324,36.91885784
19.0,8.1,7.2,0.3,35.0,0.4054651081081644,1.0986122886681098,4.2626798770413155,5.153291594497779,34.54506929
15.0,8.2,7.3,0.2,0.0,0.18232155679395465,0.0,0.0,5.43372200355424,45.58561532
18.0,7.25,7.7,1.55,88.0,1.6389967146756448,2.8903717578961645,5.176149732573829,7.523481312573497,366.8395198
18.0,6.5,7.7,3.1,630.0,1.6956156086751528,5.181783550292085,7.13966033596492,8.010027528481734,596.3896947
14.5,7.55,8.35,0.5,87.75,1.1939224684724346,2.5649493574615367,5.173320876373351,7.437206366871292,336.3772544
20.75,7.0,7.65,0.15,31.25,0.18232155679395465,1.3862943611198906,4.151039905898646,6.096950054953959,88.19995658
19.0,10.1,7.75,1.0,35.0,0.0,3.5263605246161616,4.2626798770413155,4.840242308167575,25.40520717
20.5,9.5,7.9,1.1,97.5,0.0,4.51085950651685,5.278114659230517,5.872117789475416,70.60694292
19.5,9.6,7.95,1.0,37.5,0.0,3.6635616461296463,4.330733340286331,4.9344739331306915,27.87086279
19.0,9.0,7.55,1.5,120.0,0.0,4.983606621708336,5.484796933490655,5.313205979041787,40.53860027
18.0,9.3,7.85,1.1,70.0,0.0,4.189654742026425,4.948759890378168,4.283586561860629,14.71055181
